episode_20080602_132430-0700_chunk_4_1498994063021333_count_0_noise_-1_noise_type_White,2,9.3,10.92,sector probably,-1,False,0.4283,0.8787,podcast_lecture,White,sector,probably,"[{'timestamps': [['soccer', 0.23, 0.91], ['probably', 1.29, 1.87]], 'transcript': 'soccer probably ', 'confidence': 0.613, 'word_confidence': [['soccer', 0.289], ['probably', 0.993]]}]",soccer,0.5831,probably,0.8904
episode_20080602_132430-0700_chunk_4_1498994063021333_count_0_noise_0_noise_type_White,2,9.3,10.92,sector probably,0,False,0.4283,0.8787,podcast_lecture,White,sector,probably,"[{'timestamps': [['soccer', 0.23, 0.91], ['probably', 1.28, 1.87]], 'transcript': 'soccer probably ', 'confidence': 0.624, 'word_confidence': [['soccer', 0.302], ['probably', 0.996]]}]",soccer,0.612,probably,0.9015
episode_20080602_132430-0700_chunk_4_1498994063021333_count_0_noise_10_noise_type_White,2,9.3,10.92,sector probably,10,False,0.4283,0.8787,podcast_lecture,White,sector,probably,"[{'timestamps': [['soccer', 0.23, 0.91], ['probably', 1.28, 1.87]], 'transcript': 'soccer probably ', 'confidence': 0.611, 'word_confidence': [['soccer', 0.273], ['probably', 1.0]]}]",soccer,0.5667,probably,0.9143
episode_20080602_132430-0700_chunk_4_1498994063021333_count_0_noise_20_noise_type_White,2,9.3,10.92,sector probably,20,False,0.4283,0.8787,podcast_lecture,White,sector,probably,"[{'timestamps': [['soccer', 0.23, 0.89], ['probably', 1.26, 1.87]], 'transcript': 'soccer probably ', 'confidence': 0.6, 'word_confidence': [['soccer', 0.232], ['probably', 0.997]]}]",soccer,0.4522,probably,0.8036
episode_20080602_132430-0700_chunk_4_1498994063021333_count_0_noise_25_noise_type_White,2,9.3,10.92,sector probably,25,False,0.4283,0.8787,podcast_lecture,White,sector,probably,"[{'timestamps': [['suck', 0.24, 0.72], ['it', 0.72, 0.99], ['probably', 1.26, 1.87]], 'transcript': 'suck it probably ', 'confidence': 0.538, 'word_confidence': [['suck', 0.17], ['it', 0.163], ['probably', 0.994]]}]",soccer,0.4142,probably,0.7785
episode_20080602_132430-0700_chunk_4_1498994063021333_count_0_noise_26_noise_type_White,2,9.3,10.92,sector probably,26,False,0.4283,0.8787,podcast_lecture,White,sector,probably,"[{'timestamps': [['soccer', 0.24, 0.98], ['probably', 1.26, 1.87]], 'transcript': 'soccer probably ', 'confidence': 0.566, 'word_confidence': [['soccer', 0.217], ['probably', 0.989]]}]",soccer,0.4533,probably,0.7615
OpenDoors_chunk_117_1498994063021333_count_0_noise_-1_noise_type_White,2,3.84,4.92,themselves together,-1,False,0.4875,0.9443,podcast_lecture,White,themselves,together,"[{'timestamps': [['some', 0.25, 0.42], ['self', 0.42, 0.8], ['together', 0.8, 1.34]], 'transcript': 'some self together ', 'confidence': 0.719, 'word_confidence': [['some', 0.221], ['self', 0.562], ['together', 0.986]]}]",some,0.4132,self,0.7555,together,0.964
OpenDoors_chunk_117_1498994063021333_count_0_noise_0_noise_type_White,2,3.84,4.92,themselves together,0,False,0.4875,0.9443,podcast_lecture,White,themselves,together,"[{'timestamps': [['some', 0.25, 0.42], ['self', 0.42, 0.8], ['together', 0.8, 1.34]], 'transcript': 'some self together ', 'confidence': 0.694, 'word_confidence': [['some', 0.267], ['self', 0.475], ['together', 0.982]]}]",some,0.5578,self,0.7181,together,0.8819
OpenDoors_chunk_117_1498994063021333_count_0_noise_10_noise_type_White,2,3.84,4.92,themselves together,10,False,0.4875,0.9443,podcast_lecture,White,themselves,together,"[{'timestamps': [['some', 0.25, 0.41], ['self', 0.41, 0.8], ['together', 0.8, 1.34]], 'transcript': 'some self together ', 'confidence': 0.733, 'word_confidence': [['some', 0.434], ['self', 0.511], ['together', 0.981]]}]",some,0.8192,self,0.7729,together,0.9571
OpenDoors_chunk_117_1498994063021333_count_0_noise_20_noise_type_White,2,3.84,4.92,themselves together,20,False,0.4875,0.9443,podcast_lecture,White,themselves,together,"[{'timestamps': [['some', 0.24, 0.41], ['self', 0.41, 0.81], ['together', 0.81, 1.34]], 'transcript': 'some self together ', 'confidence': 0.638, 'word_confidence': [['some', 0.35], ['self', 0.287], ['together', 0.994]]}]",some,0.7838,self,0.7409,together,0.8764
OpenDoors_chunk_117_1498994063021333_count_0_noise_25_noise_type_White,2,3.84,4.92,themselves together,25,False,0.4875,0.9443,podcast_lecture,White,themselves,together,"[{'timestamps': [['some', 0.24, 0.4], ['self', 0.4, 0.81], ['together', 0.81, 1.33]], 'transcript': 'some self together ', 'confidence': 0.619, 'word_confidence': [['some', 0.242], ['self', 0.29], ['together', 0.994]]}]",some,0.586,self,0.5456,together,0.904
OpenDoors_chunk_117_1498994063021333_count_0_noise_27_noise_type_White,2,3.84,4.92,themselves together,27,False,0.4875,0.9443,podcast_lecture,White,themselves,together,"[{'timestamps': [['some', 0.24, 0.4], ['self', 0.4, 0.81], ['together', 0.81, 1.33]], 'transcript': 'some self together ', 'confidence': 0.902, 'word_confidence': [['some', 0.356], ['self', 1.0], ['together', 0.993]]}]",some,0.7891,self,0.9873,together,0.9831
OpenDoors_chunk_117_1498994063021333_count_0_noise_29_noise_type_White,2,3.84,4.92,themselves together,29,False,0.4875,0.9443,podcast_lecture,White,themselves,together,"[{'timestamps': [['so', 0.51, 0.76], ['the', 0.97, 1.05], ['other', 1.05, 1.32]], 'transcript': 'so the other ', 'confidence': 0.423, 'word_confidence': [['so', 0.713], ['the', 0.211], ['other', 0.217]]}]",so,0.7485,<eps>,0.6028
