Darwins_Legacy_chunk_199_1496993135046256_count_0_noise_-1_noise_type_White,3a,1.53,4.05,misinterpretation of failing to read realize,-1,False,0.3986,0.9002,lecture,White,read,realize,"[{'word_confidence': [['misinterpretation', 0.755], ['of', 1.0], ['failing', 1.0], ['to', 1.0], ['reup', 0.269], ['realize', 0.461]], 'timestamps': [['misinterpretation', 0.25, 1.22], ['of', 1.32, 1.46], ['failing', 1.46, 1.85], ['to', 1.85, 1.97], ['reup', 1.97, 2.37], ['realize', 2.37, 2.77]], 'confidence': 0.692, 'transcript': 'misinterpretation of failing to reup realize '}]",misinterpretation,0.973,of,0.9992,failing,1.0,to,1.0,reup,0.4841,realize,0.6322
Darwins_Legacy_chunk_199_1496993135046256_count_0_noise_0_noise_type_White,3a,1.53,4.05,misinterpretation of failing to read realize,0,False,0.3986,0.9002,lecture,White,read,realize,"[{'word_confidence': [['misinterpretation', 0.755], ['of', 1.0], ['failing', 1.0], ['to', 1.0], ['reup', 0.291], ['realize', 0.508]], 'timestamps': [['misinterpretation', 0.25, 1.22], ['of', 1.32, 1.46], ['failing', 1.46, 1.85], ['to', 1.85, 1.97], ['reup', 1.97, 2.37], ['realize', 2.37, 2.77]], 'confidence': 0.703, 'transcript': 'misinterpretation of failing to reup realize '}]",misinterpretation,0.973,of,0.9992,failing,1.0,to,1.0,reup,0.514,realize,0.6291
Darwins_Legacy_chunk_199_1496993135046256_count_0_noise_10_noise_type_White,3a,1.53,4.05,misinterpretation of failing to read realize,10,False,0.3986,0.9002,lecture,White,read,realize,"[{'word_confidence': [['misinterpretation', 0.755], ['of', 1.0], ['failing', 1.0], ['to', 1.0], ['reup', 0.332], ['realize', 0.521]], 'timestamps': [['misinterpretation', 0.25, 1.22], ['of', 1.32, 1.46], ['failing', 1.46, 1.85], ['to', 1.85, 1.97], ['reup', 1.97, 2.36], ['realize', 2.36, 2.77]], 'confidence': 0.713, 'transcript': 'misinterpretation of failing to reup realize '}]",misinterpretation,0.973,of,0.9992,failing,1.0,to,1.0,reup,0.5727,realize,0.627
Darwins_Legacy_chunk_199_1496993135046256_count_0_noise_20_noise_type_White,3a,1.53,4.05,misinterpretation of failing to read realize,20,False,0.3986,0.9002,lecture,White,read,realize,"[{'word_confidence': [['misinterpretation', 0.755], ['of', 1.0], ['failing', 1.0], ['to', 1.0], ['reup', 0.193], ['realize', 0.517]], 'timestamps': [['misinterpretation', 0.25, 1.22], ['of', 1.32, 1.46], ['failing', 1.46, 1.85], ['to', 1.85, 1.97], ['reup', 1.97, 2.36], ['realize', 2.36, 2.76]], 'confidence': 0.691, 'transcript': 'misinterpretation of failing to reup realize '}]",misinterpretation,0.973,of,0.9992,failing,1.0,to,1.0,reup,0.3564,realize,0.6345
Darwins_Legacy_chunk_199_1496993135046256_count_0_noise_25_noise_type_White,3a,1.53,4.05,misinterpretation of failing to read realize,25,False,0.3986,0.9002,lecture,White,read,realize,"[{'word_confidence': [['misinterpretation', 0.756], ['of', 0.976], ['failing', 1.0], ['to', 0.878], ['rear', 0.17], ['realize', 0.572]], 'timestamps': [['misinterpretation', 0.25, 1.22], ['of', 1.32, 1.46], ['failing', 1.46, 1.85], ['to', 1.85, 1.97], ['rear', 1.97, 2.31], ['realize', 2.35, 2.75]], 'confidence': 0.7, 'transcript': 'misinterpretation of failing to rear realize '}]",misinterpretation,0.973,of,0.9991,failing,0.9994,to,0.9292,rear,0.3953,realize,0.6503
Darwins_Legacy_chunk_199_1496993135046256_count_0_noise_26_noise_type_White,3a,1.53,4.05,misinterpretation of failing to read realize,26,False,0.3986,0.9002,lecture,White,read,realize,"[{'word_confidence': [['misinterpretation', 0.756], ['of', 0.977], ['failing', 1.0], ['to', 0.881], ['rear', 0.158], ['realize', 0.557]], 'timestamps': [['misinterpretation', 0.25, 1.22], ['of', 1.32, 1.46], ['failing', 1.46, 1.85], ['to', 1.85, 1.97], ['rear', 1.97, 2.31], ['realize', 2.35, 2.75]], 'confidence': 0.696, 'transcript': 'misinterpretation of failing to rear realize '}]",misinterpretation,0.973,of,0.999,failing,0.9994,to,0.9254,rear,0.3707,realize,0.6632
American_revolution_lecture_chunk_33_1496993135046256_count_0_noise_-1_noise_type_White,3a,0.03,1.82,first have political assets not every political,-1,False,0.4618,0.9196,lecture,White,every,political,"[{'word_confidence': [['personal', 0.179], ['nevertheless', 0.146], [""it's"", 0.135], ['not', 1.0], ['having', 0.172], ['political', 0.915]], 'timestamps': [['personal', 0.19, 0.48], ['nevertheless', 0.48, 1.21], [""it's"", 1.21, 1.36], ['not', 1.36, 1.52], ['having', 1.52, 1.7], ['political', 1.7, 2.05]], 'confidence': 0.371, 'transcript': ""personal nevertheless it's not having political ""}]",personal,0.9449,nevertheless,0.9448,it's,0.9168,not,0.9891,every,0.5208,political,0.9507
American_revolution_lecture_chunk_33_1496993135046256_count_0_noise_0_noise_type_White,3a,0.03,1.82,first have political assets not every political,0,False,0.4618,0.9196,lecture,White,every,political,"[{'word_confidence': [['personal', 0.169], ['nevertheless', 0.136], [""it's"", 0.125], ['not', 1.0], ['having', 0.331], ['political', 0.842]], 'timestamps': [['personal', 0.19, 0.48], ['nevertheless', 0.48, 1.21], [""it's"", 1.21, 1.36], ['not', 1.36, 1.52], ['having', 1.52, 1.7], ['political', 1.7, 2.05]], 'confidence': 0.366, 'transcript': ""personal nevertheless it's not having political ""}]",personal,0.9338,nevertheless,0.9325,it's,0.9013,not,0.9898,having,0.4578,political,0.9472
American_revolution_lecture_chunk_33_1496993135046256_count_0_noise_10_noise_type_White,3a,0.03,1.82,first have political assets not every political,10,False,0.4618,0.9196,lecture,White,every,political,"[{'word_confidence': [['personal', 0.159], ['nevertheless', 0.126], [""it's"", 0.114], ['not', 1.0], ['having', 0.487], ['vocal', 0.425]], 'timestamps': [['personal', 0.19, 0.48], ['nevertheless', 0.48, 1.21], [""it's"", 1.21, 1.36], ['not', 1.36, 1.52], ['having', 1.52, 1.71], ['vocal', 1.71, 2.04]], 'confidence': 0.296, 'transcript': ""personal nevertheless it's not having vocal ""}]",personal,0.9153,nevertheless,0.9134,it's,0.8769,not,0.9954,having,0.8276,vocal,0.7824
American_revolution_lecture_chunk_33_1496993135046256_count_0_noise_5_noise_type_White,3a,0.03,1.82,first have political assets not every political,5,False,0.4618,0.9196,lecture,White,every,political,"[{'word_confidence': [['personal', 0.166], ['nevertheless', 0.133], [""it's"", 0.121], ['not', 1.0], ['having', 0.308], ['political', 0.587]], 'timestamps': [['personal', 0.19, 0.48], ['nevertheless', 0.48, 1.21], [""it's"", 1.21, 1.36], ['not', 1.36, 1.52], ['having', 1.52, 1.7], ['political', 1.7, 2.05]], 'confidence': 0.314, 'transcript': ""personal nevertheless it's not having political ""}]",personal,0.93,nevertheless,0.9285,it's,0.8961,not,0.9906,having,0.5271,political,0.6733
American_revolution_lecture_chunk_33_1496993135046256_count_0_noise_7_noise_type_White,3a,0.03,1.82,first have political assets not every political,7,False,0.4618,0.9196,lecture,White,every,political,"[{'word_confidence': [['personal', 0.168], ['nevertheless', 0.135], [""it's"", 0.123], ['not', 1.0], ['having', 0.303], ['vocal', 0.33]], 'timestamps': [['personal', 0.19, 0.48], ['nevertheless', 0.48, 1.21], [""it's"", 1.21, 1.36], ['not', 1.36, 1.52], ['having', 1.52, 1.72], ['vocal', 1.72, 2.04]], 'confidence': 0.266, 'transcript': ""personal nevertheless it's not having vocal ""}]",personal,0.9246,nevertheless,0.923,it's,0.8889,not,0.9912,having,0.6366,vocal,0.4852
American_revolution_lecture_chunk_33_1496993135046256_count_0_noise_6_noise_type_White,3a,0.03,1.82,first have political assets not every political,6,False,0.4618,0.9196,lecture,White,every,political,"[{'word_confidence': [['personal', 0.169], ['nevertheless', 0.136], [""it's"", 0.125], ['not', 1.0], ['having', 0.269], ['political', 0.629]], 'timestamps': [['personal', 0.19, 0.48], ['nevertheless', 0.48, 1.21], [""it's"", 1.21, 1.36], ['not', 1.36, 1.52], ['having', 1.52, 1.7], ['political', 1.7, 2.04]], 'confidence': 0.319, 'transcript': ""personal nevertheless it's not having political ""}]",personal,0.9311,nevertheless,0.9297,it's,0.8976,not,0.9903,having,0.5034,political,0.6262
