Google_IO_2017_chunk_174_1497832476735979_count_0_noise_-1_noise_type_White,2,19.59,20.28,Burke joining,-1,False,0.3389,0.9108,lecture,White,Burke,joining,"[{'confidence': 0.752, 'timestamps': [['joining', 0.56, 0.91]], 'transcript': 'joining ', 'word_confidence': [['joining', 0.752]]}]",joining,0.9675
Google_IO_2017_chunk_174_1497832476735979_count_0_noise_0_noise_type_White,2,19.59,20.28,Burke joining,0,False,0.3389,0.9108,lecture,White,Burke,joining,"[{'confidence': 0.574, 'timestamps': [['joining', 0.56, 0.91]], 'transcript': 'joining ', 'word_confidence': [['joining', 0.574]]}]",joining,0.9423
Google_IO_2017_chunk_174_1497832476735979_count_0_noise_10_noise_type_White,2,19.59,20.28,Burke joining,10,False,0.3389,0.9108,lecture,White,Burke,joining,"[{'confidence': 0.827, 'timestamps': [['joining', 0.56, 0.91]], 'transcript': 'joining ', 'word_confidence': [['joining', 0.827]]}]",for,0.3732,joining,0.9736
Google_IO_2017_chunk_174_1497832476735979_count_0_noise_20_noise_type_White,2,19.59,20.28,Burke joining,20,False,0.3389,0.9108,lecture,White,Burke,joining,"[{'confidence': 0.449, 'timestamps': [['for', 0.24, 0.51], ['joining', 0.55, 0.9]], 'transcript': 'for joining ', 'word_confidence': [['for', 0.29], ['joining', 0.572]]}]",for,0.3761,joining,0.9511
Google_IO_2017_chunk_174_1497832476735979_count_0_noise_22_noise_type_White,2,19.59,20.28,Burke joining,22,False,0.3389,0.9108,lecture,White,Burke,joining,"[{'confidence': 0.389, 'timestamps': [['for', 0.24, 0.51], ['joining', 0.55, 0.9]], 'transcript': 'for joining ', 'word_confidence': [['for', 0.253], ['joining', 0.493]]}]",first,0.4255,joining,0.9164
Google_IO_2017_chunk_174_1497832476735979_count_0_noise_23_noise_type_White,2,19.59,20.28,Burke joining,23,False,0.3389,0.9108,lecture,White,Burke,joining,"[{'confidence': 0.343, 'timestamps': [['for', 0.24, 0.51], ['joining', 0.59, 0.9]], 'transcript': 'for joining ', 'word_confidence': [['for', 0.249], ['joining', 0.425]]}]",first,0.5051,joining,0.8853
Google_IO_2017_chunk_81_1497832476735979_count_0_noise_-1_noise_type_White,2,20.84,21.64,potential Google,-1,True,0.9992,0.4751,lecture,White,potential,Google,"[{'confidence': 0.69, 'timestamps': [['potential', 0.28, 0.79], ['Google', 0.79, 1.03]], 'transcript': 'potential Google ', 'word_confidence': [['potential', 0.992], ['Google', 0.05]]}]",potential,0.999,Google,0.2184
Google_IO_2017_chunk_81_1497832476735979_count_0_noise_0_noise_type_White,2,20.84,21.64,potential Google,0,True,0.9992,0.4751,lecture,White,potential,Google,"[{'confidence': 0.688, 'timestamps': [['potential', 0.28, 0.79], ['Google', 0.79, 1.03]], 'transcript': 'potential Google ', 'word_confidence': [['potential', 0.991], ['Google', 0.042]]}]",potential,0.9989,groove,0.3175
Google_IO_2017_chunk_81_1497832476735979_count_0_noise_10_noise_type_White,2,20.84,21.64,potential Google,10,True,0.9992,0.4751,lecture,White,potential,Google,"[{'confidence': 0.709, 'timestamps': [['potential', 0.28, 0.78], ['groove', 0.78, 1.02]], 'transcript': 'potential groove ', 'word_confidence': [['potential', 0.994], ['groove', 0.116]]}]",potential,0.9999,groove,0.4904
Google_IO_2017_chunk_81_1497832476735979_count_0_noise_20_noise_type_White,2,20.84,21.64,potential Google,20,True,0.9992,0.4751,lecture,White,potential,Google,"[{'confidence': 0.69, 'timestamps': [['potential', 0.28, 0.78], ['groove', 0.78, 1.02]], 'transcript': 'potential groove ', 'word_confidence': [['potential', 0.981], ['groove', 0.082]]}]",potential,0.9988,groove,0.3561
Google_IO_2017_chunk_81_1497832476735979_count_0_noise_21_noise_type_White,2,20.84,21.64,potential Google,21,True,0.9992,0.4751,lecture,White,potential,Google,"[{'confidence': 0.685, 'timestamps': [['potential', 0.28, 0.78], ['groove', 0.78, 1.02]], 'transcript': 'potential groove ', 'word_confidence': [['potential', 0.976], ['groove', 0.079]]}]",potential,0.9978,groove,0.2925
Nikola_Tesla_chunk_102_1497832476735979_count_0_noise_-1_noise_type_White,2,17.62,18.61,force vibrating,-1,False,0.4781,0.9926,lecture,White,force,vibrating,"[{'confidence': 0.66, 'timestamps': [['forces', 0.24, 0.58], ['vibrating', 0.58, 1.17]], 'transcript': 'forces vibrating ', 'word_confidence': [['forces', 0.172], ['vibrating', 0.941]]}]",force,0.4221,vibrating,0.9946
Nikola_Tesla_chunk_102_1497832476735979_count_0_noise_0_noise_type_White,2,17.62,18.61,force vibrating,0,False,0.4781,0.9926,lecture,White,force,vibrating,"[{'confidence': 0.658, 'timestamps': [['forces', 0.24, 0.59], ['vibrating', 0.59, 1.17]], 'transcript': 'forces vibrating ', 'word_confidence': [['forces', 0.17], ['vibrating', 0.953]]}]",force,0.4161,vibrating,0.9937
Nikola_Tesla_chunk_102_1497832476735979_count_0_noise_10_noise_type_White,2,17.62,18.61,force vibrating,10,False,0.4781,0.9926,lecture,White,force,vibrating,"[{'confidence': 0.535, 'timestamps': [['forces', 0.24, 0.59], ['vibrating', 0.59, 1.17]], 'transcript': 'forces vibrating ', 'word_confidence': [['forces', 0.166], ['vibrating', 0.758]]}]",force,0.3905,vibrating,0.9842
Nikola_Tesla_chunk_102_1497832476735979_count_0_noise_20_noise_type_White,2,17.62,18.61,force vibrating,20,False,0.4781,0.9926,lecture,White,force,vibrating,"[{'confidence': 0.443, 'timestamps': [['forces', 0.24, 0.59], ['vibrating', 0.59, 1.17]], 'transcript': 'forces vibrating ', 'word_confidence': [['forces', 0.152], ['vibrating', 0.618]]}]",forces,0.3021,vibrating,0.9741
Nikola_Tesla_chunk_102_1497832476735979_count_0_noise_21_noise_type_White,2,17.62,18.61,force vibrating,21,False,0.4781,0.9926,lecture,White,force,vibrating,"[{'confidence': 0.427, 'timestamps': [['forces', 0.24, 0.59], ['vibrating', 0.59, 1.17]], 'transcript': 'forces vibrating ', 'word_confidence': [['forces', 0.126], ['vibrating', 0.608]]}]",force,0.2651,vibrating,0.9752
Nikola_Tesla_chunk_102_1497832476735979_count_1_noise_-1_noise_type_White,2,23.82,24.57,intent around,-1,False,0.3985,0.9522,lecture,White,intent,around,"[{'confidence': 0.422, 'timestamps': [['the', 0.2, 0.3], ['ten', 0.3, 0.54], ['around', 0.54, 0.98]], 'transcript': 'the ten around ', 'word_confidence': [['the', 0.325], ['ten', 0.538], ['around', 0.381]]}]",the,0.6372,ten,0.461,around,0.8023
Nikola_Tesla_chunk_102_1497832476735979_count_1_noise_0_noise_type_White,2,23.82,24.57,intent around,0,False,0.3985,0.9522,lecture,White,intent,around,"[{'confidence': 0.466, 'timestamps': [['ten', 0.34, 0.54], ['around', 0.54, 0.98]], 'transcript': 'ten around ', 'word_confidence': [['ten', 0.528], ['around', 0.437]]}]",the,0.4685,ten,0.497,around,0.8181
Nikola_Tesla_chunk_102_1497832476735979_count_1_noise_10_noise_type_White,2,23.82,24.57,intent around,10,False,0.3985,0.9522,lecture,White,intent,around,"[{'confidence': 0.449, 'timestamps': [['ten', 0.34, 0.54], ['around', 0.54, 0.98]], 'transcript': 'ten around ', 'word_confidence': [['ten', 0.598], ['around', 0.382]]}]",ten,0.5816,around,0.7825
Nikola_Tesla_chunk_102_1497832476735979_count_1_noise_20_noise_type_White,2,23.82,24.57,intent around,20,False,0.3985,0.9522,lecture,White,intent,around,"[{'confidence': 0.452, 'timestamps': [['ten', 0.35, 0.54], ['around', 0.54, 0.98]], 'transcript': 'ten around ', 'word_confidence': [['ten', 0.415], ['around', 0.468]]}]",ten,0.7752,around,0.8518
Nikola_Tesla_chunk_102_1497832476735979_count_1_noise_21_noise_type_White,2,23.82,24.57,intent around,21,False,0.3985,0.9522,lecture,White,intent,around,"[{'confidence': 0.428, 'timestamps': [['ten', 0.35, 0.54], ['around', 0.54, 0.98]], 'transcript': 'ten around ', 'word_confidence': [['ten', 0.345], ['around', 0.464]]}]",ten,0.7873,around,0.8514
